Scrip Code,COMPANY,ISIN No.,Close Price
522275,GE Vernova T&D India Limited,INE200A01026,4156.75
540755,General Insurance Corporation,INE481Y01014,357.4
507815,GILLETTE INDIA LTD.,INE322A01010,7816.8
543245,Gland Pharma Limited,INE068V01023,2378.35
500660,GLAXOSMITHKLINE PHARMACEUTICAL,INE159A01016,2513.25
532296,GLENMARK PHARMACEUTICALS LTD.,INE935A01035,2193.25
543654,Global Health Limited,INE474Q01031,1370.4
532754,GMR Airports Limited,INE776C01039,107.1
544179,Go Digit General Insurance Lim,INE03JT01014,256.5
532734,GODAWARI POWER & ISPAT LTD.,INE177H01039,240.25
500163,GODFREY PHILLIPS INDIA LTD.,INE260B01028,2127.1
540743,Godrej Agrovet Limited,INE850D01014,574.05
532424,GODREJ CONSUMER PRODUCTS LTD.,INE102D01028,1059.2
500164,GODREJ INDUSTRIES LTD.,INE233A01035,1331.95
533150,GODREJ PROPERTIES LTD,INE484J01027,2026.55
532482,GRANULES INDIA LTD.,INE101D01020,833.65
509488,GRAPHITE INDIA LTD.,INE371A01025,672.6
500300,GRASIM INDUSTRIES LTD.,INE047A01021,3087.45
533282,GRAVITA INDIA LTD.,INE024L01027,1775.35
500620,GREAT EASTERN SHIPPING CO.LTD.,INE017A01032,1437.4
506076,GRINDWELL NORTON LTD.,INE536A01023,2011.75
544801,GSPL Transmission Limited,INE1TUG01013,148.5
539336,Gujarat Energy Limited,INE844O01030,265.3
542812,Gujarat Fluorochemicals Limite,INE09N301011,4597.7
532181,GUJARAT MINERAL DEVELOPMENT CO,INE131A01031,562.55
500670,GUJARAT NARMADA VALLEY FERTILI,INE113A01013,503.35
500690,GUJARAT STATE FERTILIZERS & CH,INE026A01025,154.5
517354,HAVELLS INDIA LTD.,INE176B01034,1226.8
517271,HBL ENGINEERING LIMITED,INE292B01021,698.55
532281,HCL TECHNOLOGIES LTD.,INE860A01027,1270.7
544429,HDB FINANCIAL SERVICES LIMITED,INE756I01012,691.2
541729,HDFC Asset Management Company,INE127D01025,2505.7
500180,HDFC BANK LTD.,INE040A01034,742.6
540777,HDFC LIFE INSURANCE COMPANY LI,INE795G01014,555.1
509631,HEG LTD.,INE545A01024,642.6
500182,HERO MOTOCORP LTD.,INE158A01026,5010.8
544362,Hexaware Technologies Limited,INE093A01041,551.55
500183,HFCL LIMITED,INE548A01028,196.85
500184,Himadri Speciality Chemical Lt,INE019C01026,789.3
500440,HINDALCO INDUSTRIES LTD.,INE038A01020,942.75
541154,Hindustan Aeronautics Limited,INE066F01020,4569.15
