isin,company_id,name,eps,roce,roe
INE481N01025,1274827,Home First Finan,55.29,11.13,0.157
INE065X01017,1284767,Indegene,16.59,18.82,0.14400000000000002
INE119A01028,387,Balrampur Chini,18.58,9.28,0.095410004
INE383A01012,1420,India Cements,2.99,1.24,0.0037
INE118D01016,1274910,Nuvoco Vistas,10.82,7.07,0.0405
INE233B01017,517,Blue Dart Expres,120.75,16.64,0.168
INE0YD401026,1285688,Jain Resource,10.38,25.49,0.28672
INE024L01027,1202,Gravita India,53.83,17.02,0.168
INE399G01023,2662,Ramkrishna Forg.,5.86,5.60,0.0256
INE0KBH01020,1284539,Blue Jet Health,14.27,26.50,0.19881001
INE962Y01021,1272265,Ircon Intl.,6.32,9.69,0.09084
INE022Q01020,1274182,Indian Energy Ex,5.7,51.79,0.39399999999999996
INE0BY001018,1274844,Jubilant Ingrev.,19.42,11.35,0.0951
INE780C01023,1637,JM Financial,12.55,11.63,0.111269996
INE094J01016,1274795,UTI AMC,35.85,15.57,0.10300000000000001
INE520A01027,3800,Zensar Tech.,33.75,22.75,0.17300000000000001
INE14LE01019,1285513,A B Lifestyle,1.41,15.02,0.12724
INE903U01023,1275340,SignatureGlobal,78.52,2.60,0.84882003
INE573A01042,1636,JK Tyre & Indust,27.22,15.51,0.14051
INE285K01026,1274597,Techno Elec.Engg,38.62,14.85,0.11364
INE011K01018,1275116,Tega Inds.,20.54,8.09,0.05939
INE615H01020,3435,Titagarh Rail,8.99,10.60,0.049200002
INE191H01014,2604,PVR Inox,28.6,6.96,0.032799999999999996
INE02RE01045,1284885,Brainbees Solut.,-2.91,0.57,-0.0383
INE209L01016,689,Jupiter Wagons,4.02,9.16,0.05768
INE002S01010,1273407,Mahanagar Gas,72.26,18.28,0.13699999999999998
INE256A01028,3788,Zee Entertainmen,2.82,2.75,0.02332
INE477A01020,578,Can Fin Homes,84.85,9.14,0.19699999999999998
INE260D01016,1178,Olectra Greentec,21.58,21.05,0.156
INE933S01016,1274674,Indiamart Inter.,81.89,28.04,0.23146
INE216P01012,1274569,AAVAS Financiers,86.21,9.92,0.139
INE050A01025,527,The Bombay Burmah,178.15,32.98,0.28709
INE320J01015,1274374,Rites,8.54,22.00,0.16396
INE716A01013,3752,Whirlpool India,23.12,11.07,0.072459996
INE306R01017,1199533,Intellect Design,24.84,16.03,0.11411
INE979A01025,2899,Saregama India,10.72,17.76,0.12567
INE423Y01016,1284438,SBFC Finance,4.36,11.82,0.11599999999999999
INE101I01011,1285138,Afcons Infrastr.,6.78,13.91,0.04681
INE153T01027,1273377,BLS Internat.,16.64,29.34,0.30143
INE614G01033,2729,Reliance Power,-0.82,6.11,-0.0208
INE665A01038,3315,Swan Corp,8.65,3.87,0.029949998
INE136B01020,1490,Cyient,34.08,12.28,0.0861
INE205B01031,903,Elecon Engg.Co,10.52,20.86,0.16399999999999998
INE123F01029,2099,MMTC,2.58,8.66,0.20266001
INE0DD101019,1274834,Railtel Corpn.,10.78,22.85,0.16254
